title,video_id,vimeo_link,category,final_category,final_category_slug,was_overridden,was_folded_archives
Hiit Mobility | with Alberto | 9/23/20,461008796,https://vimeo.com/461008796/2aa9681046,HIIT Beginner,HIIT Beginner,hiit-beginner,False,False
Hiit 21 | Massive Calorie Blast | with Pam | 9/23/20,460964637,https://vimeo.com/460964637/4dbf1ce037,HIIT 21,HIIT 21,hiit-21,False,False
Kids Hiit Funhouse | Tornado Tuesday | with Coach Tammy,460707705,https://vimeo.com/460707705/af65b0594a,Kids HIIT Funhouse,Kids HIIT Funhouse,kids-hiit-funhouse,False,False
Hiit 56 | Upper Body | with Susie Q | 9/22/20,460663016,https://vimeo.com/460663016/d11001cef8,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
Hiit Kickboxing | Beginner & Intermediate | with Trisha | 9/22/20,460540577,https://vimeo.com/460540577/9a5c68f226,HIIT Kickboxing,HIIT Kickboxing,hiit-kickboxing,False,False
Hiit 56 | Upper Body | with Susie Q | 9/22/20,460538141,https://vimeo.com/460538141/487a3786f4,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 9/21/20",460166694,https://vimeo.com/460166694/5e4342af52,Heavy HIIT,Heavy HIIT,heavy-hiit,False,False
Hiit 56 | Lower Body | with Susie Q | 9/21/20,460164118,https://vimeo.com/460164118/33d7cc8c4b,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
Hiit 21 | MASSIVE CALORIE BURNER | with Pam | 9/20/20,459898571,https://vimeo.com/459898571/170fb94d5f,HIIT 21,HIIT 21,hiit-21,False,False
Hiit 56 | Shana Tova Saturday | with Susie Q | 9/19/20,459696122,https://vimeo.com/459696122/6e52f3655c,HIIT,HIIT,hiit,False,False
Stretch & Recovery | with Alberto | 9/18/20,459379511,https://vimeo.com/459379511/e6b1f2fd06,Stretch & Recovery,Stretch & Recovery,stretch-recovery,False,False
Hiit 56 | Upper Body | with Susie Q | 9/18/20,459378397,https://vimeo.com/459378397/7d4a61d830,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 9/17/20",459003209,https://vimeo.com/459003209/f990ee40a8,Heavy HIIT,Heavy HIIT,heavy-hiit,False,False
Hiit Kickboxing | Advanced | with Trisha | 9/17/20,458999485,https://vimeo.com/458999485/c9136a2527,HIIT Kickboxing,HIIT Kickboxing,hiit-kickboxing,False,False
Hiit 56 | Lower Body | with Pam & GiGi | 9/17/20,458957051,https://vimeo.com/458957051/00029f73bb,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
Hiit Mobility | with Alberto | 9/16/20,458570936,https://vimeo.com/458570936/e9718dae67,HIIT Beginner,HIIT Beginner,hiit-beginner,False,False
Hiit 21 | Massive Calorie Blast | with Pam | 9/16/20,458561425,https://vimeo.com/458561425/13b650281c,HIIT 21,HIIT 21,hiit-21,False,False
Hiit 56 | Upper Body | with Susie Q | 9/15/20,458244460,https://vimeo.com/458244460/4e4ab919fd,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
Kids Hiit Funhouse | Right Left Tuesday | with Coach Tammy,458124784,https://vimeo.com/458124784/44991f774d,Kids HIIT Funhouse,Kids HIIT Funhouse,kids-hiit-funhouse,False,False
Hiit Kickboxing | Beginner & Intermediate | with Trisha | 9/15/20,458124143,https://vimeo.com/458124143/1938925262,HIIT Kickboxing,HIIT Kickboxing,hiit-kickboxing,False,False
Hiit 56 | Upper Body | with Susie Q | 9/15/20,458113719,https://vimeo.com/458113719/58e3a2abbf,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
"Heavy Hiit | with Renato ""The Brazilian Hercules"" | 9/14/20",457897188,https://vimeo.com/457897188/f2710df0dc,Heavy HIIT,Heavy HIIT,heavy-hiit,False,False
Hiit 56 | Lower Body | with Gi Gi | 9/14/20,457742076,https://vimeo.com/457742076/372ab7e0cd,HIIT Lower Body,HIIT Lower Body,hiit-lower-body,False,False
Hiit 21 | TOTAL AB DESTROYER | with Pam | 9/13/20,457479070,https://vimeo.com/457479070/b909178c0e,HIIT 21,HIIT 21,hiit-21,False,False
Hiit 56 | Freedom Saturday | with Susie Q | 9/12/20,457250762,https://vimeo.com/457250762/6d4eb00039,HIIT,HIIT,hiit,False,False
Stretch & Recovery | with Alberto | 9/11/20,456952349,https://vimeo.com/456952349/532f21530c,Stretch & Recovery,Stretch & Recovery,stretch-recovery,False,False
Hiit 56 | Upper Body | with GiGi | 9/11/20,456932077,https://vimeo.com/456932077/d7fa033c23,HIIT Upper Body,HIIT Upper Body,hiit-upper-body,False,False
